Email Subject,Invoice #,Vendor Name,Status,Exception Message
text,,,,
Payment receipt for Invoice #1506431,1506431,"Creative Media Solutions, LLC dba Jukeboxy Music",Not Processed,"Process Not Started as Location not exists on restaurent365, looking for :-->  "
Cleaning Invoice,8009,Anderson Express Cleaners,Processed,
Logan Sysco 685400055,,,Not Processed,"Gmail loop - Not processing as email subject does not contain ""Inv""."
Your Sysco Weekly Statement has Arrived!,,,Not Processed,"Gmail loop - Not processing as email subject does not contain ""Inv""."
Sysco 3-29-25 INV#685406327,685406327,Sysco SYSCO INTERMOUNTAIN,Processed,
Aurora Sysco 659838251,,,Not Processed,"Gmail loop - Not processing as email subject does not contain ""Inv""."
Aurora Coke 46238430024,,,Not Processed,"Gmail loop - Not processing as email subject does not contain ""Inv""."
Aurora Coke 3257206688,,,Not Processed,"Gmail loop - Not processing as email subject does not contain ""Inv""."
Sysco credit,,,Not Processed,"Gmail loop - Not processing as email subject does not contain ""Inv""."
Sysco,,,Not Processed,"Gmail loop - Not processing as email subject does not contain ""Inv""."
Cintas Invoice # 4225579005 03/28/2025-0015745549,4225579005,CINTAS,Processed,
Cintas Invoice # 4225583940 03/28/2025-0013213133,4225583940,CINTAS,Processed,
Pay invoice 172355 from Boss Hood Cleaning with a few clicks,172355,Boss Hood Cleaning,Not Processed,"Process Not Started as Location not exists on restaurent365, looking for :-->  Cupbop - American Fork 598 West Main Street American Fork, UT 84003"
Pay invoice 172355 from Boss Hood Cleaning with a few clicks,,BOSS,Not Processed,"Process Not Started as Location not exists on restaurent365, looking for :-->  "
FW: Outstanding Kirton McConkie Invoices,2171368,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2171372,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2171373,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2171374,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2177987,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2177991,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2177992,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2177996,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2177997,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2149381,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2149396,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2149398,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2159030,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2159031,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2159032,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2159033,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2159034,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2159035,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2159036,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2159037,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2171365,KIRTON MCCONKIE,Processed,
FW: Outstanding Kirton McConkie Invoices,2171367,KIRTON MCCONKIE,Processed,
Sysco Oklahoma - CUPBOP NORMAN - 974155 - Invoice 426442212,426442212,,Not Processed,"Process Not Started as Location not exists on restaurent365, looking for :-->  "
Fire Code Renewal Email,,,Not Processed,"Gmail loop - Not processing as email subject does not contain ""Inv""."
Sysco 03/27/2025 - #685400199,,,Not Processed,"Gmail loop - Not processing as email subject does not contain ""Inv""."
Cintas Invoice # 4225582748 03/28/2025-0019558118,4225582748,CINTAS,Processed,
Cintas Invoice # 4225583887 03/28/2025-0013213539,4225583887,CINTAS,Processed,
Cintas Invoice # 4225577796 03/28/2025-0015165379,4225577796,CINTAS,Processed,
Cintas Invoice # 4225584322 03/28/2025-0018531376,4225584322,CINTAS,Processed,
Cintas Invoice # 4225583749 03/28/2025-0013216354,4225583749,CINTAS,Not Processed,"Process Not Started as vendor exists in by pass list, Vendor name - CINTAS"
